Op,dmsTimestamp,product_id,name,price
I,2022-06-24 19:01:10.000000,21,sneakers,682.30
I,2022-06-24 19:01:10.000000,22,sweater,21.26
I,2022-06-24 19:01:10.000000,23,accessories,939.07
I,2022-06-24 19:01:10.000000,24,coat,607.83
I,2022-06-24 19:01:10.000000,25,coat,199.68
I,2022-06-24 19:01:10.000000,26,sweater,104.69
I,2022-06-24 19:01:10.000000,27,boots,759.90
I,2022-06-24 19:01:10.000000,28,sweatshirt,971.23
I,2022-06-24 19:01:10.000000,29,coat,93.81
I,2022-06-24 19:01:10.000000,30,sweater,920.67
